"invoice_number";"buy_code";"inv_date";"pay_code";"inv_price";"cus_id"
184;"TEL";"2004-03-04";"CASH";87.18;1084
185;"STO";"2004-03-04";"CASH";18.64;1085
186;"INT";"2004-03-04";"MAST";22.98;1086
187;"STO";"2004-03-05";"OTHE";34.97;1087
188;"TEL";"2004-03-05";"AMEX";39.33;1088
189;"INT";"2004-03-05";"MAST";20.58;1089
190;"INT";"2004-03-05";"AMEX";25.36;1090
191;"TEL";"2004-03-05";"MAST";39.05;1091
192;"INT";"2004-03-05";"OTHE";20.51;1092
193;"STO";"2004-03-05";"AMEX";75.23;1093
194;"INT";"2004-03-05";"VISA";27.36;1094
195;"INT";"2004-03-05";"VISA";12.83;1095
196;"INT";"2004-03-05";"MAST";47.87;1096
197;"TEL";"2004-03-05";"CHEC";27.58;1097
198;"INT";"2004-03-05";"AMEX";25.36;1098
199;"STO";"2004-03-05";"VISA";41.67;1099
200;"TEL";"2004-03-05";"OTHE";49.87;1100
201;"INT";"2004-03-05";"OTHE";49.59;1101
202;"STO";"2004-03-05";"OTHE";22.79;1102
203;"INT";"2004-03-05";"OTHE";50.37;1103
204;"TEL";"2004-03-05";"CHEC";68.76;1104
205;"STO";"2004-03-05";"MAST";41.32;1105
206;"STO";"2004-03-05";"MAST";54.71;1106
207;"STO";"2004-03-05";"OTHE";25.36;1107
208;"STO";"2004-03-05";"OTHE";23.93;1108
209;"TEL";"2004-03-05";"VISA";54.8;1109
210;"INT";"2004-03-05";"OTHE";53.03;1110
211;"STO";"2004-03-05";"OTHE";9.31;1111
212;"STO";"2004-03-05";"CHEC";23.03;1112
213;"INT";"2004-03-05";"CASH";18.22;1113
214;"TEL";"2004-03-05";"AMEX";29.16;1114
215;"STO";"2004-03-05";"MAST";27.36;1115
216;"INT";"2004-03-05";"OTHE";15.96;1116
217;"INT";"2004-03-05";"MAST";41.04;1117
218;"STO";"2004-03-05";"AMEX";22.79;1118
219;"TEL";"2004-03-05";"OTHE";12.83;1119
220;"INT";"2004-03-06";"VISA";22.51;1120
221;"STO";"2004-03-06";"MAST";57.16;1121
222;"STO";"2004-03-06";"OTHE";74.14;1122
223;"TEL";"2004-03-06";"MAST";72.21;1123
224;"TEL";"2004-03-06";"AMEX";82.65;1124
225;"INT";"2004-03-06";"AMEX";25.36;1125
226;"INT";"2004-03-06";"OTHE";15.96;1126
227;"STO";"2004-03-06";"CASH";45.58;1127
228;"TEL";"2004-03-06";"VISA";29.16;1128
229;"STO";"2004-03-06";"AMEX";47.34;1129
230;"STO";"2004-03-06";"CASH";22.79;1130
231;"TEL";"2004-03-06";"AMEX";22.79;1131
232;"TEL";"2004-03-06";"CHEC";22.7;1132
233;"STO";"2004-03-06";"AMEX";22.79;1133
234;"STO";"2004-03-06";"AMEX";25.36;1134
235;"TEL";"2004-03-06";"MAST";13.67;1135
236;"INT";"2004-03-06";"OTHE";22.79;1136
237;"TEL";"2004-03-06";"VISA";27.58;1137
238;"TEL";"2004-03-06";"OTHE";25.63;1138
239;"TEL";"2004-03-06";"CHEC";68.66;1139
240;"STO";"2004-03-06";"VISA";25.36;1140
241;"TEL";"2004-03-06";"AMEX";22.12;1141
242;"INT";"2004-03-06";"MAST";57.38;1142
243;"STO";"2004-03-06";"AMEX";22.12;1143
244;"STO";"2004-03-06";"MAST";27.36;1144
245;"TEL";"2004-03-06";"AMEX";81.89;1145
246;"STO";"2004-03-06";"MAST";22.12;1146
247;"INT";"2004-03-08";"MAST";15.67;1147
248;"TEL";"2004-03-08";"VISA";12.83;1148
249;"TEL";"2004-03-08";"AMEX";38.52;1149
250;"TEL";"2004-03-08";"CHEC";11.39;1150
251;"INT";"2004-03-08";"VISA";72.25;1151
252;"INT";"2004-03-08";"MAST";22.12;1152
253;"STO";"2004-03-08";"AMEX";25.36;1153
254;"STO";"2004-03-08";"MAST";22.79;1154
255;"TEL";"2004-03-08";"AMEX";49.38;1155
256;"INT";"2004-03-08";"OTHE";43.32;1156
257;"TEL";"2004-03-08";"OTHE";25.36;1157
258;"STO";"2004-03-08";"AMEX";41.56;1158
259;"STO";"2004-03-08";"OTHE";34.37;1159
260;"INT";"2004-03-08";"OTHE";25.36;1160
261;"TEL";"2004-03-08";"VISA";37.07;1161
262;"INT";"2004-03-08";"AMEX";25.6;1162
263;"STO";"2004-03-08";"AMEX";37.07;1163
264;"INT";"2004-03-08";"MAST";25.36;1164
265;"STO";"2004-03-08";"MAST";25.63;1165
266;"INT";"2004-03-08";"MAST";25.36;1166
267;"STO";"2004-03-08";"CHEC";18.5;1167
268;"TEL";"2004-03-08";"AMEX";18.64;1168
269;"TEL";"2004-03-08";"OTHE";22.12;1169
270;"TEL";"2004-03-08";"MAST";26.66;1170
271;"TEL";"2004-03-08";"AMEX";22.12;1171
272;"INT";"2004-03-08";"MAST";68.4;1172
273;"INT";"2004-03-08";"AMEX";17.3;1173
274;"TEL";"2004-03-08";"CHEC";28.5;1174
275;"STO";"2004-03-09";"CHEC";50.67;1175
276;"STO";"2004-03-09";"MAST";26.66;1176
277;"STO";"2004-03-09";"AMEX";18.64;1177
278;"TEL";"2004-03-09";"AMEX";18.5;1178
279;"INT";"2004-03-09";"CHEC";20.51;1179
280;"STO";"2004-03-09";"MAST";43.88;1180
281;"INT";"2004-03-09";"OTHE";25.36;1181
282;"STO";"2004-03-09";"CHEC";20.51;1182
283;"STO";"2004-03-09";"MAST";27.36;1183
284;"STO";"2004-03-09";"VISA";29.16;1133
285;"TEL";"2004-03-09";"AMEX";21.67;1184
286;"INT";"2004-03-09";"CHEC";22.79;1185
287;"STO";"2004-03-09";"AMEX";27.97;1186
288;"TEL";"2004-03-09";"VISA";80.15;1187
289;"STO";"2004-03-09";"CASH";47.58;1188
290;"TEL";"2004-03-09";"AMEX";20.78;1189
291;"INT";"2004-03-09";"OTHE";22.79;1190
292;"INT";"2004-03-09";"AMEX";38.52;1191
293;"STO";"2004-03-09";"AMEX";23.03;1192
294;"INT";"2004-03-09";"AMEX";47.17;1193
295;"STO";"2004-03-09";"MAST";31.91;1194
296;"INT";"2004-03-09";"AMEX";41.29;1195
297;"INT";"2004-03-09";"AMEX";22.79;1196
298;"STO";"2004-03-09";"MAST";20.58;1197
299;"TEL";"2004-03-09";"AMEX";64.74;1198
300;"STO";"2004-03-09";"OTHE";48.39;1199
301;"INT";"2004-03-09";"OTHE";25.36;1200
302;"TEL";"2004-03-09";"CHEC";96.96;1201
303;"TEL";"2004-03-09";"AMEX";62.54;1202
304;"STO";"2004-03-09";"CASH";12.83;1203
305;"STO";"2004-03-09";"CASH";57.38;1204
306;"INT";"2004-03-09";"MAST";42.8;1205
307;"TEL";"2004-03-09";"AMEX";20.98;1206
308;"TEL";"2004-03-10";"CHEC";20.51;1207
309;"STO";"2004-03-10";"CASH";63.27;1208
310;"STO";"2004-03-10";"MAST";22.7;1209
311;"STO";"2004-03-10";"MAST";25.36;1210
312;"INT";"2004-03-10";"MAST";47.75;1211
313;"INT";"2004-03-10";"OTHE";65.2;1212
314;"STO";"2004-03-10";"AMEX";20.78;1213
315;"TEL";"2004-03-10";"CHEC";43.39;1214
316;"INT";"2004-03-10";"AMEX";39.06;1215
317;"STO";"2004-03-10";"AMEX";25.36;1216
318;"TEL";"2004-03-10";"AMEX";42.67;1217
319;"INT";"2004-03-10";"OTHE";92.64;1218
320;"INT";"2004-03-10";"MAST";18.5;1219
321;"TEL";"2004-03-10";"AMEX";14.83;1220
322;"STO";"2004-03-10";"CASH";15.05;1221
323;"INT";"2004-03-10";"CHEC";25.36;1222
324;"TEL";"2004-03-10";"AMEX";18.64;1223
325;"TEL";"2004-03-10";"OTHE";53.63;1224
326;"TEL";"2004-03-10";"OTHE";11.4;1225
327;"STO";"2004-03-10";"VISA";41.32;1196
328;"STO";"2004-03-10";"MAST";15.05;1226
329;"INT";"2004-03-10";"OTHE";25.36;1227
330;"INT";"2004-03-10";"OTHE";109.88;1228
331;"TEL";"2004-03-10";"MAST";16.03;1229
332;"STO";"2004-03-10";"AMEX";34.46;1230
333;"STO";"2004-03-10";"AMEX";20.78;1231
334;"TEL";"2004-03-10";"AMEX";22.12;1232
335;"STO";"2004-03-10";"AMEX";40.76;1233
336;"STO";"2004-03-10";"CASH";84.45;1234
337;"INT";"2004-03-10";"VISA";62.01;1235
338;"TEL";"2004-03-10";"OTHE";64.09;1236
339;"INT";"2004-03-10";"AMEX";22.12;1237
340;"STO";"2004-03-10";"AMEX";27.36;1238
341;"TEL";"2004-03-11";"VISA";55.93;1239
342;"STO";"2004-03-11";"VISA";27.58;1240
343;"STO";"2004-03-11";"AMEX";20.51;1241
344;"TEL";"2004-03-11";"AMEX";23.3;1242
345;"INT";"2004-03-11";"CHEC";61.73;1243
346;"TEL";"2004-03-11";"OTHE";34.97;1244
347;"STO";"2004-03-11";"VISA";20.51;1245
348;"TEL";"2004-03-11";"CHEC";27.36;1246
349;"INT";"2004-03-11";"CHEC";22.12;1247
350;"INT";"2004-03-11";"OTHE";36.97;1248
351;"TEL";"2004-03-11";"MAST";15.96;1249
352;"TEL";"2004-03-11";"AMEX";64.13;1250
353;"TEL";"2004-03-11";"OTHE";68.38;1251
354;"INT";"2004-03-11";"OTHE";53.45;1252
355;"STO";"2004-03-11";"OTHE";38.47;1253
356;"TEL";"2004-03-11";"AMEX";63.45;1254
357;"STO";"2004-03-11";"OTHE";20.51;1255
358;"STO";"2004-03-11";"AMEX";13.03;1256
359;"INT";"2004-03-11";"OTHE";17.1;1257
360;"TEL";"2004-03-11";"VISA";47.87;1258
361;"STO";"2004-03-11";"MAST";75.17;1259
362;"STO";"2004-03-11";"AMEX";20.98;1260
363;"STO";"2004-03-12";"CHEC";25.36;1261
364;"TEL";"2004-03-12";"VISA";38.99;1262
365;"TEL";"2004-03-12";"AMEX";50.15;1263
366;"STO";"2004-03-12";"MAST";35.56;1264
367;"TEL";"2004-03-12";"CHEC";25.36;1265
368;"STO";"2004-03-12";"CASH";22.04;1266
369;"STO";"2004-03-12";"OTHE";21.67;1267
370;"TEL";"2004-03-12";"CASH";99.07;1268
371;"TEL";"2004-03-12";"MAST";20.58;1050
372;"INT";"2004-03-12";"CHEC";22.79;1269
373;"STO";"2004-03-12";"OTHE";46.14;1270
374;"INT";"2004-03-12";"AMEX";57.88;1271
375;"STO";"2004-03-12";"VISA";20.58;1272
376;"TEL";"2004-03-12";"MAST";15.96;1273
377;"STO";"2004-03-12";"OTHE";51.95;1274
378;"STO";"2004-03-12";"MAST";25.36;1275
379;"STO";"2004-03-12";"VISA";18.5;1276
380;"STO";"2004-03-13";"CHEC";25.91;1277
381;"INT";"2004-03-13";"CHEC";25.36;1278
382;"TEL";"2004-03-13";"OTHE";22.79;1279
383;"INT";"2004-03-13";"CASH";31.91;1280
384;"INT";"2004-03-13";"AMEX";20.51;1281
385;"TEL";"2004-03-13";"MAST";47.4;1282
386;"TEL";"2004-03-13";"OTHE";13.86;1283
387;"INT";"2004-03-13";"AMEX";22.79;1284
388;"STO";"2004-03-13";"CASH";36.74;1285
389;"STO";"2004-03-13";"AMEX";34.2;1286
390;"TEL";"2004-03-13";"OTHE";22.79;1287
391;"INT";"2004-03-13";"OTHE";49.38;1288
392;"TEL";"2004-03-13";"MAST";365.02;1289
393;"TEL";"2004-03-13";"AMEX";16.31;1290
394;"INT";"2004-03-13";"VISA";77.51;1291
395;"INT";"2004-03-13";"OTHE";22.79;1292
396;"TEL";"2004-03-13";"AMEX";22.79;1293
397;"STO";"2004-03-13";"CHEC";58.58;1294
398;"STO";"2004-03-13";"CHEC";18.64;1295
399;"TEL";"2004-03-15";"OTHE";31.89;1296
400;"STO";"2004-03-15";"OTHE";25.36;1297
401;"TEL";"2004-03-15";"AMEX";45.58;1298
402;"INT";"2004-03-15";"OTHE";18.5;1299
403;"INT";"2004-03-15";"AMEX";22.02;1300
404;"STO";"2004-03-15";"AMEX";48.06;1301
405;"STO";"2004-03-15";"MAST";25.36;1302
406;"INT";"2004-03-15";"OTHE";15.96;1303
407;"STO";"2004-03-15";"CHEC";61.6;1304
408;"TEL";"2004-03-15";"AMEX";25.36;1305
409;"TEL";"2004-03-15";"OTHE";22.12;1306
410;"TEL";"2004-03-15";"VISA";45.86;1307
411;"STO";"2004-03-15";"OTHE";25.63;1308
412;"TEL";"2004-03-15";"OTHE";25.36;1309
413;"TEL";"2004-03-15";"MAST";44.91;1310
414;"STO";"2004-03-15";"MAST";31.12;1311
415;"TEL";"2004-03-15";"AMEX";41.29;1312
416;"STO";"2004-03-15";"MAST";58.05;1313
417;"INT";"2004-03-15";"MAST";96.95;1314
418;"INT";"2004-03-15";"MAST";44.28;1315
419;"TEL";"2004-03-15";"CASH";27.36;1316
420;"TEL";"2004-03-15";"MAST";38.75;1317
421;"INT";"2004-03-15";"MAST";27.36;1318
422;"TEL";"2004-03-15";"MAST";23.3;1319
423;"STO";"2004-03-16";"OTHE";27.36;1320
424;"INT";"2004-03-16";"AMEX";48.25;1321
425;"TEL";"2004-03-16";"MAST";37.63;1322
426;"STO";"2004-03-16";"AMEX";93.29;1323
427;"INT";"2004-03-16";"VISA";21.67;1324
428;"TEL";"2004-03-16";"OTHE";22.51;1325
429;"TEL";"2004-03-16";"OTHE";43.21;1326
430;"TEL";"2004-03-16";"CHEC";22.7;1327
431;"STO";"2004-03-16";"CHEC";27.97;1328
432;"INT";"2004-03-16";"VISA";18.64;1241
433;"INT";"2004-03-16";"MAST";64.45;1329
434;"STO";"2004-03-16";"CHEC";12.83;1330
435;"TEL";"2004-03-16";"OTHE";48.15;1331
436;"INT";"2004-03-16";"AMEX";45.61;1332
437;"TEL";"2004-03-16";"AMEX";45.87;1333
438;"INT";"2004-03-16";"OTHE";45.94;1334
439;"STO";"2004-03-16";"MAST";50.99;1335
440;"TEL";"2004-03-16";"MAST";40.61;1336
441;"STO";"2004-03-16";"OTHE";22.79;1337
442;"STO";"2004-03-16";"OTHE";20.51;1338
443;"TEL";"2004-03-16";"MAST";46.0;1339
444;"TEL";"2004-03-16";"MAST";13.86;1340
445;"TEL";"2004-03-16";"MAST";20.58;1341
446;"STO";"2004-03-16";"CHEC";27.36;1342
447;"TEL";"2004-03-16";"AMEX";15.96;1343
448;"TEL";"2004-03-16";"MAST";15.96;1344
449;"INT";"2004-03-16";"CHEC";22.7;1345
450;"INT";"2004-03-16";"AMEX";15.96;1346
451;"STO";"2004-03-16";"OTHE";20.51;1347
452;"STO";"2004-03-17";"AMEX";18.64;1348
453;"TEL";"2004-03-17";"CASH";57.66;1349
454;"INT";"2004-03-17";"AMEX";62.96;1350
455;"TEL";"2004-03-17";"AMEX";20.58;1351
456;"STO";"2004-03-17";"OTHE";22.12;1352
457;"STO";"2004-03-17";"CASH";41.59;1353
458;"INT";"2004-03-17";"MAST";45.87;1354
459;"STO";"2004-03-17";"MAST";64.9;1355
460;"STO";"2004-03-17";"CHEC";14.83;1356
461;"INT";"2004-03-17";"AMEX";15.96;1357
462;"TEL";"2004-03-17";"VISA";22.02;1358
463;"TEL";"2004-03-17";"OTHE";20.51;1359
464;"TEL";"2004-03-17";"MAST";80.05;1360
465;"STO";"2004-03-17";"CASH";15.96;1361
466;"TEL";"2004-03-17";"MAST";38.75;1362
467;"STO";"2004-03-17";"AMEX";47.8;1363
468;"TEL";"2004-03-17";"OTHE";11.39;1364
469;"INT";"2004-03-17";"AMEX";43.12;1365
470;"STO";"2004-03-17";"OTHE";41.15;1366
471;"TEL";"2004-03-17";"AMEX";29.16;1367
472;"STO";"2004-03-17";"MAST";20.51;1368
473;"STO";"2004-03-17";"OTHE";27.97;1369
474;"STO";"2004-03-17";"VISA";20.51;1370
475;"STO";"2004-03-17";"OTHE";18.64;1371
476;"STO";"2004-03-17";"CHEC";70.95;1372
477;"INT";"2004-03-17";"MAST";20.78;1373
478;"STO";"2004-03-17";"OTHE";27.58;1374
479;"STO";"2004-03-18";"AMEX";27.35;1375
480;"TEL";"2004-03-18";"AMEX";29.93;1376
481;"STO";"2004-03-18";"CHEC";95.7;1377
482;"TEL";"2004-03-18";"CHEC";25.36;1378
483;"TEL";"2004-03-18";"VISA";64.47;1379
484;"STO";"2004-03-18";"MAST";51.26;1380
485;"INT";"2004-03-18";"MAST";45.32;1381
486;"TEL";"2004-03-18";"MAST";23.93;1382
487;"TEL";"2004-03-18";"AMEX";87.18;1383
488;"STO";"2004-03-18";"AMEX";47.87;1384
489;"TEL";"2004-03-18";"MAST";42.9;1385
490;"STO";"2004-03-18";"VISA";21.67;1386
491;"TEL";"2004-03-18";"OTHE";95.01;1387
492;"STO";"2004-03-18";"CHEC";20.51;1388
493;"INT";"2004-03-18";"OTHE";20.51;1389
494;"TEL";"2004-03-18";"OTHE";20.51;1390
495;"INT";"2004-03-18";"AMEX";12.83;1391
496;"TEL";"2004-03-18";"VISA";87.18;1392
497;"STO";"2004-03-18";"MAST";25.63;1393
498;"STO";"2004-03-18";"CHEC";54.48;1394
499;"TEL";"2004-03-18";"AMEX";27.36;1395
500;"TEL";"2004-03-18";"MAST";28.91;1396
501;"STO";"2004-03-18";"CHEC";24.48;1397
502;"INT";"2004-03-18";"OTHE";25.36;1398
503;"STO";"2004-03-18";"MAST";34.97;1399
504;"TEL";"2004-03-18";"AMEX";72.27;1400
505;"INT";"2004-03-18";"MAST";13.86;1401
506;"TEL";"2004-03-19";"OTHE";40.09;1402
507;"STO";"2004-03-19";"CHEC";27.36;1403
508;"STO";"2004-03-19";"MAST";27.36;1404
509;"STO";"2004-03-19";"OTHE";76.96;1404
510;"INT";"2004-03-19";"MAST";43.86;1405
511;"TEL";"2004-03-19";"OTHE";68.38;1406
512;"STO";"2004-03-19";"OTHE";25.08;1407
513;"STO";"2004-03-19";"CASH";15.96;1408
514;"INT";"2004-03-19";"CHEC";45.32;1409
515;"INT";"2004-03-19";"MAST";52.06;1410
516;"STO";"2004-03-19";"CHEC";15.96;1411
517;"STO";"2004-03-19";"MAST";60.21;1412
518;"TEL";"2004-03-19";"CASH";20.51;1413
519;"STO";"2004-03-19";"MAST";45.61;1414
520;"STO";"2004-03-19";"OTHE";6.0;1415
521;"TEL";"2004-03-19";"OTHE";25.36;1416
522;"INT";"2004-03-19";"OTHE";22.12;1417
523;"STO";"2004-03-19";"MAST";8.1;1418
524;"STO";"2004-03-19";"AMEX";102.71;1419
525;"STO";"2004-03-19";"OTHE";87.36;1420
526;"INT";"2004-03-19";"OTHE";36.37;1421
527;"STO";"2004-03-19";"CASH";45.58;1422
528;"INT";"2004-03-19";"MAST";22.79;1423
529;"INT";"2004-03-19";"VISA";51.95;1424
530;"TEL";"2004-03-19";"AMEX";27.97;1425
531;"TEL";"2004-03-19";"AMEX";77.72;1426
532;"TEL";"2004-03-19";"OTHE";20.58;1427
533;"STO";"2004-03-20";"AMEX";39.49;1428
534;"STO";"2004-03-20";"AMEX";22.7;1429
535;"INT";"2004-03-20";"OTHE";48.15;1430
536;"STO";"2004-03-20";"VISA";25.36;1431
537;"INT";"2004-03-20";"MAST";39.26;1432
538;"STO";"2004-03-20";"OTHE";41.2;1433
539;"STO";"2004-03-20";"OTHE";99.88;1434
540;"STO";"2004-03-20";"AMEX";22.79;1435
541;"STO";"2004-03-20";"AMEX";13.97;1436
542;"STO";"2004-03-20";"CASH";22.51;1437
543;"INT";"2004-03-20";"CHEC";56.99;1438
544;"TEL";"2004-03-20";"AMEX";22.79;1439
545;"INT";"2004-03-20";"AMEX";16.03;1440
546;"INT";"2004-03-20";"OTHE";31.92;1441
547;"INT";"2004-03-20";"OTHE";15.96;1442
548;"TEL";"2004-03-20";"OTHE";25.36;1443
549;"STO";"2004-03-20";"AMEX";52.19;1444
550;"INT";"2004-03-20";"VISA";18.5;1445
551;"INT";"2004-03-20";"AMEX";27.97;1446
552;"INT";"2004-03-20";"VISA";30.3;1447
553;"STO";"2004-03-20";"CASH";37.61;1448
554;"STO";"2004-03-20";"AMEX";70.97;1449
555;"STO";"2004-03-20";"OTHE";18.5;1450
556;"TEL";"2004-03-20";"OTHE";51.73;1451
557;"STO";"2004-03-20";"VISA";27.36;1452
558;"STO";"2004-03-20";"CHEC";38.75;1453
559;"STO";"2004-03-20";"OTHE";22.02;1454
560;"TEL";"2004-03-22";"OTHE";86.65;1455
561;"TEL";"2004-03-22";"MAST";25.36;1456
562;"TEL";"2004-03-22";"VISA";49.48;1457
563;"STO";"2004-03-22";"CASH";26.24;1458
564;"INT";"2004-03-22";"OTHE";45.58;1459
565;"INT";"2004-03-22";"MAST";86.78;1460
566;"STO";"2004-03-22";"CASH";50.99;1461
567;"INT";"2004-03-22";"AMEX";30.3;1462
568;"INT";"2004-03-22";"OTHE";45.61;1463
569;"INT";"2004-03-22";"OTHE";36.47;1464
570;"INT";"2004-03-22";"AMEX";22.02;1465
571;"INT";"2004-03-22";"AMEX";62.22;1466
572;"INT";"2004-03-22";"CHEC";18.22;1467
573;"INT";"2004-03-22";"VISA";22.02;1468
574;"INT";"2004-03-22";"MAST";41.03;1469
575;"TEL";"2004-03-22";"OTHE";24.48;1470
576;"INT";"2004-03-22";"VISA";47.75;1471
577;"TEL";"2004-03-22";"CHEC";23.3;1472
578;"STO";"2004-03-22";"OTHE";12.25;1473
579;"STO";"2004-03-22";"AMEX";25.36;1474
580;"INT";"2004-03-22";"MAST";20.51;1475
581;"STO";"2004-03-22";"MAST";25.36;1476
582;"STO";"2004-03-22";"OTHE";22.79;1477
583;"STO";"2004-03-22";"MAST";216.32;1478
584;"INT";"2004-03-23";"AMEX";13.03;1479
585;"TEL";"2004-03-23";"AMEX";8.1;1480
586;"INT";"2004-03-23";"CASH";25.36;1481
587;"INT";"2004-03-23";"OTHE";78.99;1482
588;"STO";"2004-03-23";"OTHE";15.96;1483
589;"INT";"2004-03-23";"OTHE";22.79;1484
590;"TEL";"2004-03-23";"OTHE";45.61;1485
591;"TEL";"2004-03-23";"MAST";37.07;1486
592;"INT";"2004-03-23";"VISA";43.58;1487
593;"STO";"2004-03-23";"MAST";58.06;1219
594;"INT";"2004-03-23";"OTHE";38.77;1488
595;"STO";"2004-03-23";"OTHE";25.63;1489
596;"INT";"2004-03-23";"CHEC";53.63;1490
597;"INT";"2004-03-23";"CASH";79.62;1491
598;"INT";"2004-03-23";"CHEC";20.51;1492
599;"INT";"2004-03-23";"AMEX";51.95;1493
600;"STO";"2004-03-23";"CASH";27.36;1494
601;"STO";"2004-03-23";"CASH";18.64;1495
602;"STO";"2004-03-23";"VISA";32.24;1496
603;"STO";"2004-03-23";"CHEC";27.36;1497
604;"INT";"2004-03-23";"CHEC";13.97;1498
605;"INT";"2004-03-24";"VISA";22.79;1499
606;"TEL";"2004-03-24";"AMEX";20.51;1500
607;"INT";"2004-03-24";"MAST";43.32;1501
608;"INT";"2004-03-24";"MAST";18.5;1502
609;"STO";"2004-03-24";"AMEX";25.36;1503
610;"TEL";"2004-03-24";"OTHE";27.36;1504
611;"INT";"2004-03-24";"OTHE";63.81;1505
612;"TEL";"2004-03-24";"AMEX";20.51;1506
613;"INT";"2004-03-24";"MAST";13.97;1507
614;"INT";"2004-03-24";"CHEC";20.51;1508
615;"STO";"2004-03-24";"MAST";22.79;1509
616;"TEL";"2004-03-24";"OTHE";71.29;1510
